trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1e_T13,,,260,10,Shopko,,,4.491
R1e_T13,,,261,11,Shopko,,,5.207
R1e_T13,12:02:00,12:02:00,262,12,Shopko,,,5.459
R1e_T13,,,263,13,Transfer Center,,,5.784
R1e_T13,,,264,14,Transfer Center,,,6.231
R1e_T13,,,1173,15,Transfer Center,,,6.47
R1e_T13,,,1174,16,Transfer Center,,,6.741
R1e_T13,,,1167,17,Transfer Center,,,7.273
R1e_T13,,,1156,18,Transfer Center,,,7.369
R1e_T13,,,351,19,Transfer Center,,,7.819
R1e_T13,12:10:00,12:15:00,148,20,Transfer Center,,,8.19
R1e_T13,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T13,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T13,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T13,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T13,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T13,,,174,26,WWCC (Walla Walla Community College),,,9.994
