stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
60077,,Hogan's Corner NorthBound Entrance,,47.044394,-124.158437,ghc,,,,,
60080,,Hogan's Corner SouthBound Exit,,47.044245,-124.158258,ghc,,,,,
60081,,Hogan's Corner SouthBound Entrance,,47.044568890802,-124.158403873443,ghc,,,,,
60091,,SR 109 at Broadway Hill Rd SouthBound,,46.983731,-123.960154,ghc,,,,,
60093,,SR 109 at Grays Harbor Blvd SouthBound,,46.9832972855797,-123.94998550415,ghc,,,,,
60302,,Duck Lake Dr at Hutton St,,46.9888761580955,-124.144590497016,ghc,,,,,
60308,,Ocean Shores Blvd at Taurus,,46.97190718611,-124.166021347045,ghc,,,,,
60309,,Brookdale at Catala Ave,,46.9534260550474,-124.130734205245,ghc,,,,,
60310,,Ocean Shores Blvd at Marineview Drive,,46.952364147972,-124.168124198913,ghc,,,,,
60311,,Cakesota & Mt Olympus Ave,,46.9632422050602,-124.143608808517,ghc,,,,,
60312,,Marine View Dr at Tonquin,,46.950929,-124.147486,ghc,,,,,
60313,,Ocean Lake Way & Canal Dr,,46.984600111459,-124.155045747756,ghc,,,,,
60316,,Duck Lake Dr & Airport,,46.9989803209668,-124.144638776779,ghc,,,,,
60317,,Pt Brown Ave & Ocean Lake Way,,46.9845122814989,-124.158393144607,ghc,,,,,
60333,,Duck Lake Drive at Blue Wing Loop SE,,46.9670166046701,-124.138303399086,ghc,,,,,
60334,,E Chance A la Mer at Dolphin,,47.0077016974578,-124.155571460723,ghc,,,,,
60355,,Duck Lake Dr at Harbor View Loop,,46.978784724685,-124.141768813133,ghc,,,,,
60360,,Ocean Shores Blvd at Ocean Lake,,46.9839340639931,-124.165404438972,ghc,,,,,
60362,,Ocean Lake at Point Brown Ave,,46.9845946220907,-124.159026145935,ghc,,,,,
60363,,Point Brown Ave at Taurus Blvd,,46.9721268125087,-124.158393144607,ghc,,,,,
60364,,Point Brown Ave at S Razor Clam,,46.9627955562536,-124.15214896202,ghc,,,,,
60366,,Point Brown Ave at Tonquin Ave,,46.9539240455905,-124.144349098205,ghc,,,,,
60400,,Burrows Rd SouthBound,,47.041273,-124.073598,ghc,,,,,
60402,,Burrows Rd NorthBound,,47.041423,-124.073805,ghc,,,,,
70002,,Ocosta School,,46.863994,-124.101713,ghc,,,,,
70004,,Montesano St at View Ridge Dr,,46.8666464601682,-124.102560281753,ghc,,,,,
70005,,Wildwood Trailer Park SouthBound,,46.892838,-124.020896,ghc,,,,,
70006,,Montesano St at Chehalis Ave,,46.8714765321885,-124.103826284408,ghc,,,,,
70009,,Bay City SouthBound,,46.864524,-124.060878,ghc,,,,,
70010,,Grayland County Line,,46.794997,-124.089607,ghc,,,,,
